Symbol,Market Cap,Short Float,Shs Float,Shs Outstand,source
DYN,746.10M,4.33%,49.76M,51.22M,FINVIZ
DYNS,293.48M,0.10%,N/A,23.72M,YAHOO
DYNT,25.93M,1.63%,13.05M,17.36M,FINVIZ
DZSI,306.73M,1.46%,16.97M,26.98M,FINVIZ
EA,39.79B,1.58%,283.12M,286.00M,FINVIZ
EACPU,-,0.00%,14.15M,-,FINVIZ
EAR,453.46M,5.19%,33.91M,38.81M,FINVIZ
EAST,37.62M,3.37%,11.00M,12.26M,FINVIZ
EBACU,N/A,N/A,N/A,N/A,YAHOO
EBAY,47.16B,3.98%,625.21M,674.00M,FINVIZ
EBC,3.87B,1.67%,170.28M,172.17M,FINVIZ
EBET,364.18M,5.81%,7.54M,10.55M,FINVIZ
EBIX,1.02B,14.94%,23.65M,30.58M,FINVIZ
EBON,302.09M,7.59%,129.34M,139.21M,FINVIZ
EBSB,1.20B,2.87%,47.18M,50.38M,FINVIZ
ECHO,1.28B,4.03%,26.02M,26.18M,FINVIZ
ECOR,65.13M,1.19%,52.15M,69.49M,YAHOO
ECPG,1.67B,13.82%,29.71M,30.91M,FINVIZ
EDAP,179.24M,1.46%,12.42M,32.22M,FINVIZ
EDIT,2.55B,15.20%,66.83M,67.88M,FINVIZ
EDNCU,N/A,N/A,N/A,N/A,YAHOO
EDOC,Not Found,Not Found,Not Found,Not Found,YAHOO
EDRY,83.44M,0.42%,1.38M,2.35M,FINVIZ
EDSA,115.16M,6.29%,9.44M,13.25M,FINVIZ
EDTK,16.52M,2.64%,7.05M,12.06M,FINVIZ
EDTXU,N/A,N/A,10.7M,N/A,YAHOO
EDU,3.51B,6.33%,1.66B,1.69B,FINVIZ
EEFT,5.97B,2.31%,50.51M,52.80M,FINVIZ
EEIQ,36.05M,8.09%,1.67M,7.95M,FINVIZ
EEMA,Not Found,Not Found,Not Found,Not Found,YAHOO
EFOI,16.42M,1.95%,3.20M,4.21M,FINVIZ
EFTR,447.85M,3.53%,9.73M,22.56M,FINVIZ
EGAN,326.11M,2.11%,21.55M,31.14M,FINVIZ
EGLE,584.19M,9.12%,10.95M,12.17M,FINVIZ
EGLX,511.49M,0.61%,108.80M,117.52M,FINVIZ
EH,1.33B,19.27%,24.58M,55.43M,FINVIZ
EHTH,1.20B,9.53%,25.01M,26.68M,FINVIZ
EIGR,236.24M,2.26%,33.40M,33.93M,FINVIZ
EJFA,356.86M,N/A,N/A,28.75M,YAHOO
EJFAU,N/A,N/A,N/A,N/A,YAHOO
EJH,98.87M,3.72%,11.68M,36.62M,FINVIZ
EKSO,53.10M,1.16%,12.17M,12.65M,FINVIZ
ELEV,181.39M,0.69%,7.6M,23.23M,YAHOO
ELMS,1.11B,3.22%,62.06M,84.04M,FINVIZ
ELOX,127.83M,2.00%,31.95M,66.39M,FINVIZ
ELSE,17.92M,1.03%,2.23M,3.40M,FINVIZ
ELTK,33.05M,0.12%,1.56M,5.84M,FINVIZ
ELYM,490.07M,8.60%,6.06M,26.55M,YAHOO
ELYS,112.43M,4.36%,14.57M,22.01M,FINVIZ
EM,732.81M,0.26%,44.36M,256.30M,FINVIZ
EMB,Not Found,Not Found,Not Found,Not Found,YAHOO
EMKR,287.61M,2.84%,34.41M,36.77M,FINVIZ
EMXC,Not Found,Not Found,Not Found,Not Found,YAHOO
ENDP,988.04M,8.51%,229.90M,233.33M,FINVIZ
ENFA,365.31M,N/A,29.53M,29.53M,YAHOO
ENFAU,-,0.00%,29.53M,-,FINVIZ
ENG,83.93M,10.59%,21.68M,29.60M,FINVIZ
ENLV,156.23M,2.11%,14.62M,18.31M,FINVIZ
ENNV,427.37M,N/A,28.68M,34.5M,YAHOO
ENNVU,-,0.80%,5.96M,-,FINVIZ
ENOB,498.43M,4.34%,20.12M,48.50M,FINVIZ
ENPH,31.73B,3.70%,126.15M,135.09M,FINVIZ
ENSC,54.09M,N/A,7.86M,24.26M,YAHOO
ENTG,18.62B,2.95%,134.53M,135.50M,FINVIZ
ENTX,128.99M,1.59%,20.79M,23.38M,FINVIZ
ENVB,39.37M,10.73%,15.80M,21.33M,FINVIZ
ENVI,257.51M,0.60%,20.70M,20.70M,FINVIZ
ENVIU,-,0.00%,18.85M,-,FINVIZ
ENVX,3.43B,N/A,56.96M,145.25M,YAHOO
EOLS,421.50M,6.94%,35.98M,51.15M,FINVIZ
EOSE,574.24M,10.54%,48.59M,51.79M,FINVIZ
EPAY,2.11B,6.84%,41.90M,43.13M,FINVIZ
EPHY,498.37M,0.08%,40.60M,51.11M,FINVIZ
EPHYU,N/A,N/A,40.36M,N/A,YAHOO
EPIX,383.75M,4.19%,27.39M,41.02M,FINVIZ
EPZM,436.04M,10.37%,82.76M,102.05M,FINVIZ
EQ,190.81M,3.73%,13.99M,29.08M,FINVIZ
EQIX,74.13B,1.57%,89.44M,89.65M,FINVIZ
EQOS,265.77M,3.59%,33.65M,38.80M,FINVIZ
ERAS,2.29B,4.74%,59.47M,121.22M,YAHOO
ERES,425.21M,0.15%,31.7M,34.5M,YAHOO
ERESU,-,0.01%,31.71M,-,FINVIZ
ERIC,37.46B,0.21%,2.98B,3.33B,FINVIZ
ERII,1.14B,5.98%,43.13M,57.25M,FINVIZ
ERYP,90.71M,0.79%,7.46M,22.84M,FINVIZ
ESEA,229.08M,2.66%,2.72M,6.78M,FINVIZ
ESGD,Not Found,Not Found,Not Found,Not Found,YAHOO
ESGE,Not Found,Not Found,Not Found,Not Found,YAHOO
ESGU,Not Found,Not Found,Not Found,Not Found,YAHOO
ESPR,257.92M,30.35%,26.26M,28.19M,FINVIZ
ESSA,172.09M,0.14%,8.86M,9.91M,FINVIZ
ESSC,180.75M,0.75%,9.64M,17.7M,YAHOO
ESXB,260.13M,0.10%,21.71M,22.34M,FINVIZ
ETAC,749.78M,0.13%,61.20M,76.20M,FINVIZ
ETON,143.02M,2.41%,20.22M,25.21M,FINVIZ
ETSY,31.04B,8.19%,125.79M,126.98M,FINVIZ
ETTX,143.04M,2.23%,15.18M,41.11M,FINVIZ
EUCRU,N/A,N/A,9.84M,N/A,YAHOO
EUFN,Not Found,Not Found,Not Found,Not Found,YAHOO
EUSGU,N/A,N/A,N/A,N/A,YAHOO
EVAX,150.83M,0.10%,9.35M,18.94M,FINVIZ
EVBG,6.17B,13.98%,34.54M,38.01M,FINVIZ
EVCM,4.04B,1.66%,95.10M,195.13M,FINVIZ
EVER,422.53M,5.65%,18.00M,28.89M,FINVIZ
EVFM,108.27M,19.67%,142.83M,155.21M,YAHOO
EVGN,106.83M,2.17%,38.06M,38.96M,FINVIZ
EVGO,2.08B,N/A,68.17M,68.74M,YAHOO
EVK,41.46M,0.17%,3.98M,14.81M,FINVIZ
EVLO,493.39M,10.80%,50.06M,53.38M,FINVIZ
EVLV,840.44M,N/A,68M,144.16M,YAHOO
EVOJU,-,0.00%,12.48M,-,FINVIZ
EVOK,39.22M,1.84%,31.45M,32.39M,FINVIZ
EVOL,34.71M,1.74%,9.00M,12.26M,FINVIZ
EVOP,1.82B,1.93%,46.84M,47.04M,FINVIZ
EWBC,11.37B,1.77%,140.77M,141.87M,FINVIZ
EWCZ,2.01B,1.52%,31.19M,63.17M,FINVIZ
EWTX,827.48M,3.24%,48.72M,49.26M,FINVIZ
EXAI,2.67B,N/A,N/A,120.39M,YAHOO
EXAS,16.76B,7.48%,170.50M,171.49M,FINVIZ
EXC,51.77B,1.21%,975.15M,978.00M,FINVIZ
EXEL,6.75B,3.42%,308.79M,314.12M,FINVIZ
EXPD,20.46B,2.16%,168.82M,169.21M,FINVIZ
EXPE,24.96B,6.42%,138.55M,149.09M,FINVIZ
EXPI,7.42B,6.34%,67.37M,145.59M,FINVIZ
EXPO,5.91B,1.65%,51.44M,52.64M,FINVIZ
EXTR,1.27B,5.63%,126.78M,129.71M,YAHOO
EYE,5.17B,8.13%,79.61M,81.60M,FINVIZ
EYEG,23.47M,11.48%,9.86M,12.62M,YAHOO
EYEN,89.92M,1.25%,16.55M,25.93M,FINVIZ
EYES,116.75M,10.18%,18.53M,28.67M,FINVIZ
EYPT,325.52M,5.50%,25.15M,28.74M,FINVIZ
EZFL,78.32M,3.67%,12.42M,26.46M,FINVIZ
EZGO,39.82M,3.31%,6.17M,8.81M,FINVIZ
EZPW,427.46M,12.59%,51.70M,55.90M,FINVIZ
FA,2.83B,2.45%,29.41M,131.51M,FINVIZ
FALN,Not Found,Not Found,Not Found,Not Found,YAHOO
FAMI,84.04M,6.70%,24.89M,282.67M,YAHOO
FANG,19.34B,3.06%,180.11M,181.01M,FINVIZ
FANH,725.45M,3.08%,53.19M,53.70M,FINVIZ
FARM,142.09M,1.09%,15.38M,17.84M,FINVIZ
FAST,32.86B,2.37%,573.19M,574.97M,FINVIZ
FAT,147.55M,1.19%,4.05M,12.28M,FINVIZ
FATE,5.16B,11.50%,93.52M,94.33M,FINVIZ
FB,960.82B,1.01%,2.37B,2.83B,FINVIZ
FBIO,333.82M,1.51%,71.38M,80.96M,FINVIZ
FBIZ,247.62M,0.31%,8.12M,8.38M,FINVIZ
FBNC,1.71B,6.49%,27.81M,28.33M,FINVIZ
FBRX,40.60M,9.53%,12.64M,13.60M,FINVIZ
FCA,Not Found,Not Found,Not Found,Not Found,YAHOO
FCCY,242.79M,0.08%,8.95M,10.27M,FINVIZ
FCEL,3.26B,17.36%,309.27M,337.29M,FINVIZ
FCFS,3.56B,1.31%,39.20M,40.75M,FINVIZ
FCUV,339.08M,0.33%,17.62M,40.96M,FINVIZ
FCVT,Not Found,Not Found,Not Found,Not Found,YAHOO
FCX,56.48B,2.00%,1.46B,1.47B,FINVIZ
FDMT,632.23M,7.80%,20.82M,26.74M,FINVIZ
FEM,Not Found,Not Found,Not Found,Not Found,YAHOO
FEMY,82.13M,0.26%,6.02M,11.8M,YAHOO
FENC,241.69M,2.04%,21.60M,26.00M,FINVIZ
FEP,Not Found,Not Found,Not Found,Not Found,YAHOO
FEUZ,Not Found,Not Found,Not Found,Not Found,YAHOO
FFHL,33.05M,0.77%,1.13M,3.27M,FINVIZ
FFIC,741.98M,2.06%,29.46M,31.68M,FINVIZ
FFIE,N/A,N/A,110.9M,29.52M,YAHOO
FFIN,6.93B,4.03%,137.22M,142.25M,FINVIZ
FFIV,12.82B,5.13%,60.07M,60.19M,FINVIZ
FGEN,1.01B,7.31%,85.02M,92.28M,FINVIZ
FGF,20.34M,1.31%,4.91M,5.01M,FINVIZ
FHB,3.55B,4.71%,128.74M,129.39M,FINVIZ
FHLTU,N/A,N/A,N/A,N/A,YAHOO
FHTX,457.22M,2.87%,29.78M,36.85M,FINVIZ
FIBK,2.54B,10.43%,40.48M,61.66M,FINVIZ
FICVU,N/A,N/A,N/A,N/A,YAHOO
FINM,507.15M,0.02%,41.40M,51.75M,FINVIZ
FINMU,-,0.00%,42.48M,-,FINVIZ
FISV,65.21B,1.68%,602.49M,663.70M,FINVIZ
FITB,29.76B,1.22%,686.80M,708.83M,FINVIZ
FIVE,11.03B,3.65%,54.72M,56.01M,FINVIZ
FIVN,10.64B,8.09%,67.17M,67.29M,FINVIZ
FIXD,Not Found,Not Found,Not Found,Not Found,YAHOO
FIXX,331.48M,4.57%,51.87M,56.50M,FINVIZ
FIZZ,5.20B,20.49%,23.35M,93.31M,FINVIZ
FKU,Not Found,Not Found,Not Found,Not Found,YAHOO
FLACU,N/A,N/A,N/A,N/A,YAHOO
FLDM,393.00M,6.87%,75.21M,75.45M,FINVIZ
FLEX,8.38B,1.58%,484.68M,491.00M,FINVIZ
FLGC,193.06M,1.67%,33.31M,40.56M,FINVIZ
FLGT,2.47B,15.12%,19.62M,29.15M,FINVIZ
FLIC,475.87M,0.51%,22.59M,23.74M,FINVIZ
FLL,346.66M,2.73%,32.15M,34.16M,FINVIZ
FLMN,541.67M,1.89%,38.96M,46.21M,FINVIZ
FLNT,187.40M,2.78%,40.79M,79.96M,FINVIZ
FLUX,94.30M,4.76%,11.41M,13.28M,FINVIZ
FLWS,2.15B,16.78%,24.67M,65.02M,FINVIZ
FLXN,460.56M,3.94%,47.58M,49.97M,FINVIZ
FLYW,4.87B,3.19%,74.71M,104.67M,FINVIZ
FMAO,282.73M,0.38%,10.09M,11.11M,FINVIZ
FMBI,2.18B,2.26%,112.89M,114.33M,FINVIZ
FMIVU,N/A,N/A,N/A,N/A,YAHOO
FMTX,842.25M,4.80%,43.72M,47.34M,FINVIZ
FNCB,170.29M,0.23%,16.60M,20.22M,FINVIZ
FNCH,626.45M,0.96%,24.09M,47.38M,FINVIZ
FNHC,43.64M,1.71%,13.14M,17.41M,FINVIZ
FNKO,822.61M,13.06%,23.49M,37.88M,FINVIZ
FNWB,179.96M,1.11%,8.09M,9.13M,FINVIZ
FOCS,4.58B,5.23%,52.00M,55.71M,FINVIZ
FOLD,2.81B,12.22%,242.81M,266.40M,FINVIZ
FORA,326.41M,2.30%,18.64M,31.00M,FINVIZ
FORD,22.51M,5.12%,6.73M,9.96M,FINVIZ
FORE,401.89M,0.35%,24.93M,39.31M,FINVIZ
FOREU,-,0.00%,28.77M,-,FINVIZ
FORM,3.01B,1.42%,76.96M,77.46M,FINVIZ
FOSL,630.48M,10.03%,47.30M,52.04M,FINVIZ
FOX,21.69B,0.42%,464.28M,586.91M,FINVIZ
FOXA,22.19B,2.97%,464.80M,579.00M,FINVIZ
FOXWU,-,0.00%,5.64M,-,FINVIZ
FPAY,55.99M,0.40%,15.23M,21.61M,FINVIZ
FPXI,Not Found,Not Found,Not Found,Not Found,YAHOO
FR,7.48B,1.43%,128.34M,129.10M,FINVIZ
FRBK,183.15M,11.49%,47.83M,58.88M,FINVIZ
FREE,460.21M,7.74%,35.23M,38.46M,FINVIZ
FREQ,216.47M,14.56%,31.51M,34.24M,FINVIZ
FRHC,4.01B,4.95%,16.87M,59.48M,FINVIZ
FRLN,111.72M,0.18%,34.74M,35.68M,FINVIZ
FRME,2.24B,0.88%,53.43M,53.96M,FINVIZ
FROG,3.15B,9.57%,64.32M,93.67M,FINVIZ
FRONU,N/A,N/A,N/A,N/A,YAHOO
FRPT,6.82B,3.39%,41.84M,43.30M,FINVIZ
FRSG,275.27M,N/A,N/A,22.24M,YAHOO
FRSGU,N/A,N/A,N/A,N/A,YAHOO
FRSH,13.72B,2.69%,31.35M,272.95M,FINVIZ
FRSX,196.58M,5.61%,55.38M,64.45M,FINVIZ
FRTA,1.59B,4.77%,30.22M,66.69M,FINVIZ
FRWAU,-,0.05%,20.46M,-,FINVIZ
FSBC,456.48M,0.54%,9.08M,17.23M,YAHOO
FSII,262.01M,0.10%,20.57M,25.76M,FINVIZ
FSLR,12.72B,3.95%,93.64M,106.31M,FINVIZ
FSRXU,-,0.00%,30.50M,-,FINVIZ
FSSI,315.64M,0.04%,25.88M,32.34M,FINVIZ
FSSIU,-,0.06%,24.83M,-,FINVIZ
FSTR,177.78M,0.81%,9.91M,10.62M,FINVIZ
FSTX,141.88M,1.67%,12.48M,17.02M,FINVIZ
FTAA,339.74M,N/A,17.55M,25.66M,YAHOO
FTAAU,-,0.00%,17.55M,-,FINVIZ
FTCI,822.06M,8.36%,21.29M,79.23M,FINVIZ
FTCS,Not Found,Not Found,Not Found,Not Found,YAHOO
FTCV,383.52M,8.15%,25.00M,34.19M,FINVIZ
FTCVU,-,0.02%,18.08M,-,FINVIZ
FTDR,3.17B,2.84%,85.48M,85.50M,FINVIZ
FTEK,70.20M,3.35%,23.48M,30.26M,FINVIZ
FTFT,155.58M,18.79%,32.30M,53.80M,FINVIZ
FTGC,Not Found,Not Found,Not Found,Not Found,YAHOO
FTNT,54.78B,1.67%,133.60M,163.20M,FINVIZ
FTPA,334.66M,N/A,N/A,25.69M,YAHOO
FTPAU,N/A,N/A,N/A,N/A,YAHOO
FTSL,Not Found,Not Found,Not Found,Not Found,YAHOO
FTSM,Not Found,Not Found,Not Found,Not Found,YAHOO
FTVIU,N/A,N/A,N/A,N/A,YAHOO
FTXR,Not Found,Not Found,Not Found,Not Found,YAHOO
FUBO,4.43B,19.31%,127.21M,148.62M,FINVIZ
FULC,857.26M,11.80%,17.56M,32.64M,FINVIZ
FULT,2.60B,2.47%,161.46M,162.78M,FINVIZ
FULTP,N/A,N/A,159.8M,N/A,YAHOO
FUSN,310.05M,0.40%,33.64M,42.50M,FINVIZ
FUTU,7.92B,14.52%,42.31M,151.04M,FINVIZ
FUV,458.21M,34.36%,28.54M,36.15M,FINVIZ
FVCB,281.06M,0.14%,11.02M,13.65M,FINVIZ
FVE,132.96M,1.78%,10.66M,31.55M,FINVIZ
FWAC,351.06M,0.01%,N/A,28.41M,YAHOO
FWBI,27.01M,3.68%,9.18M,9.97M,YAHOO
FWONK,12.62B,4.34%,206.18M,203.6M,YAHOO
FWP,46.54M,22.25%,0.48M,6.95M,FINVIZ
FWRG,1.33B,3.88%,723.92k,59.05M,YAHOO
FYBR,7.38B,3.83%,242.91M,244.40M,FINVIZ
GACQU,N/A,N/A,N/A,N/A,YAHOO
GAIA,192.64M,2.97%,12.25M,19.27M,FINVIZ
GALT,184.49M,5.73%,42.72M,58.31M,FINVIZ
GAMB,-,0.97%,5.83M,-,FINVIZ
GAMC,349.31M,N/A,N/A,28.75M,YAHOO
GAMCU,N/A,N/A,N/A,N/A,YAHOO
GAME,79.68M,-,13.88M,19.82M,FINVIZ
GAN,622.61M,6.80%,37.62M,41.93M,FINVIZ
GANX,85.54M,0.29%,8.26M,11.88M,FINVIZ
GASS,96.31M,0.02%,29.89M,37.86M,FINVIZ
GATEU,N/A,N/A,N/A,N/A,YAHOO
GBCI,6.00B,2.24%,95.04M,95.51M,FINVIZ
GBDC,2.70B,1.12%,N/A,169.15M,YAHOO
GBIO,1.17B,11.70%,51.86M,56.32M,FINVIZ
GBOX,380.10M,9.06%,20.25M,31.08M,FINVIZ
GBRGU,N/A,N/A,5.3M,N/A,YAHOO
GBS,31.84M,3.58%,10.56M,12.66M,FINVIZ
GBT,2.26B,10.93%,56.71M,62.31M,FINVIZ
GCAC,214.44M,0.20%,15.42M,17.25M,YAHOO
GCACU,-,0.00%,15.42M,-,FINVIZ
GCMG,2.15B,17.42%,37.44M,42.64M,YAHOO
GDEN,1.49B,6.69%,18.62M,28.62M,FINVIZ
GDEV,272.04M,1.50%,25.00M,25.00M,FINVIZ
GDRX,17.59B,23.94%,69.32M,408.36M,FINVIZ
GDS,11.18B,6.61%,167.95M,181.20M,FINVIZ
GDYN,1.79B,3.15%,38.98M,54.43M,FINVIZ
GEG,52.42M,0.04%,24.73M,25.72M,FINVIZ
GENC,162.49M,0.27%,10.36M,14.75M,FINVIZ
GENE,52.74M,2.93%,14.01M,14.84M,FINVIZ
GEO,1.02B,21.96%,118.46M,120.43M,FINVIZ
GEOS,126.86M,0.68%,12.58M,13.35M,FINVIZ
GERN,497.16M,6.09%,320.05M,327.03M,FINVIZ
GEVO,1.50B,17.43%,196.94M,198.14M,FINVIZ
GFAI,47.92M,1.18%,5.97M,21.2M,YAHOO
GGAL,2.53B,1.51%,90.03M,147.47M,FINVIZ
GGGVU,N/A,N/A,N/A,N/A,YAHOO
GGMCU,N/A,N/A,16.73M,N/A,YAHOO
GGPI,1.02B,N/A,N/A,80M,YAHOO
GGPIU,N/A,N/A,N/A,N/A,YAHOO
GH,11.85B,4.44%,96.79M,101.17M,FINVIZ
GHACU,-,0.01%,2.91M,-,FINVIZ
GHRS,1.28B,3.02%,30.53M,52.02M,FINVIZ
GHSI,39.74M,1.62%,23.59M,24.43M,FINVIZ
GIG,455.36M,N/A,36.13M,45.95M,YAHOO
GIGGU,-,0.00%,36.13M,-,FINVIZ
GIGM,28.68M,4.11%,6.03M,11.05M,FINVIZ
GIII,1.39B,11.37%,42.48M,48.48M,FINVIZ
GIIX,421.40M,N/A,35.42M,34.5M,YAHOO
GIIXU,-,0.06%,35.42M,-,FINVIZ
GILD,81.04B,1.92%,1.25B,1.25B,FINVIZ
GILT,467.24M,0.36%,38.91M,56.51M,FINVIZ
GIPR,14.88M,N/A,451.23k,2.14M,YAHOO
GIWWU,N/A,N/A,N/A,N/A,YAHOO
GLAQ,151.55M,0.04%,12.22M,15.05M,FINVIZ
GLAQU,-,0.00%,9.23M,-,FINVIZ
GLBE,8.70B,4.97%,50.58M,87.31M,FINVIZ
GLBL,426.94M,N/A,34.5M,34.5M,YAHOO
GLBLU,N/A,N/A,34.5M,N/A,YAHOO
GLBS,64.42M,2.16%,20.39M,21.26M,FINVIZ
GLDD,993.26M,1.86%,64.06M,65.65M,FINVIZ
GLEEU,N/A,N/A,N/A,N/A,YAHOO
GLG,73.89M,0.20%,71.94M,96.82M,FINVIZ
GLHAU,N/A,N/A,N/A,N/A,YAHOO
GLMD,63.13M,1.52%,21.57M,25.08M,FINVIZ
GLNG,1.40B,2.51%,91.24M,108.40M,FINVIZ
GLPG,3.47B,1.06%,43.18M,65.52M,FINVIZ
GLPI,11.38B,1.24%,221.42M,233.25M,FINVIZ
GLRE,252.32M,6.44%,25.88M,34.67M,FINVIZ
GLSI,461.80M,3.68%,3.17M,12.90M,FINVIZ
GLSPU,171.37M,0.02%,9.83M,19.28M,FINVIZ
GLTO,86.10M,0.13%,22.38M,25.26M,FINVIZ
GLUE,1.06B,7.85%,21.49M,46.38M,YAHOO
GLYC,96.47M,1.69%,50.42M,51.54M,FINVIZ
GMAB,29.17B,0.19%,646.73M,653.40M,FINVIZ
GMBL,120.01M,7.63%,17.39M,20.97M,FINVIZ
GMBT,426.94M,N/A,31.95M,34.5M,YAHOO
GMBTU,N/A,N/A,31.95M,N/A,YAHOO
GMDA,250.49M,3.60%,42.73M,59.34M,FINVIZ
GMII,559.69M,N/A,41.64M,45M,YAHOO
GMIIU,-,0.05%,44.80M,-,FINVIZ
GMTX,172.18M,5.14%,33.40M,43.04M,FINVIZ
GMVD,34.20M,0.68%,7.97M,132.87M,FINVIZ
GNACU,N/A,N/A,21.38M,N/A,YAHOO
GNCA,110.80M,2.84%,52.19M,67.97M,FINVIZ
GNFT,166.26M,0.02%,43.73M,45.75M,FINVIZ
GNLN,189.19M,9.65%,16.45M,18.84M,FINVIZ
GNOG,1.40B,8.34%,41.20M,46.59M,FINVIZ
GNPX,113.14M,4.98%,44.86M,47.37M,FINVIZ
GNSS,189.08M,1.05%,26.23M,34.11M,FINVIZ
GNTX,9.07B,2.38%,237.78M,238.60M,FINVIZ
GNUS,427.69M,16.16%,285.15M,300.65M,FINVIZ
GO,2.15B,7.68%,87.45M,95.72M,FINVIZ
GOBI,314.56M,0.56%,N/A,25.85M,YAHOO
GOCO,1.77B,6.02%,73.27M,320.81M,FINVIZ
GOEV,2.01B,28.44%,111.60M,250.40M,FINVIZ
GOGO,1.78B,18.55%,79.29M,109.06M,FINVIZ
GOOG,2035.65B,0.32%,580.51M,686.47M,FINVIZ
GOOGL,2042.35B,0.45%,620.53M,668.96M,FINVIZ
GOSS,939.32M,13.46%,67.13M,74.67M,FINVIZ
GOVX,27.13M,5.69%,5.80M,6.32M,FINVIZ
GP,299.18M,4.15%,14.41M,20.89M,FINVIZ
GPACU,-,0.01%,27.84M,-,FINVIZ
GPRE,2.03B,21.11%,46.27M,48.20M,FINVIZ
GPRO,1.36B,13.47%,124.77M,153.63M,FINVIZ
GRAY,69.25M,4.82%,19.07M,21.02M,FINVIZ
GRBK,1.29B,2.87%,48.38M,50.70M,FINVIZ
GRCL,809.35M,6.12%,13.45M,67.23M,FINVIZ
GREE,787.27M,6.90%,7.05M,9.63M,YAHOO
GRFS,13.64B,N/A,1.1B,687.56M,YAHOO
GRIL,20.66M,0.95%,14.74M,15.38M,FINVIZ
GRIN,274.25M,0.46%,13.17M,19.30M,FINVIZ
GRMN,27.42B,1.31%,152.24M,192.15M,FINVIZ
GRNQ,87.40M,2.12%,28.81M,65.52M,FINVIZ
GROM,34.94M,28.37%,4.26M,5.94M,FINVIZ
GROW,96.12M,1.42%,12.89M,15.06M,FINVIZ
GRPH,762.11M,5.99%,52.55M,55.98M,FINVIZ
GRPN,642.54M,17.37%,24.81M,29.27M,FINVIZ
GRTS,549.50M,3.69%,47.59M,49.43M,FINVIZ
GRTX,54.45M,0.73%,22.68M,25.40M,FINVIZ
GRUB,15.87B,0.74%,632.31M,778.79M,FINVIZ
GRVI,94.64M,1.53%,6.92M,12.09M,FINVIZ
GRWG,1.31B,9.79%,49.88M,59.06M,FINVIZ
GSAQU,-,0.00%,25.62M,-,FINVIZ
GSAT,3.00B,8.01%,728.04M,1.79B,FINVIZ
GSEV,676.50M,N/A,44M,55M,YAHOO
GSEVU,-,0.00%,39.74M,-,FINVIZ
GSHD,5.24B,4.78%,18.55M,18.77M,FINVIZ
GSIT,131.72M,1.13%,16.54M,24.09M,FINVIZ
GSKY,2.21B,5.31%,71.28M,72.55M,FINVIZ
GSM,1.16B,1.66%,86.88M,169.30M,FINVIZ
GSMG,126.67M,1.42%,19.34M,53.84M,FINVIZ
GT,5.42B,3.02%,234.00M,244.00M,FINVIZ
GTBP,202.07M,3.28%,23.98M,33.52M,FINVIZ
GTE,381.40M,0.13%,358.58M,366.98M,FINVIZ
GTEC,69.42M,0.98%,4.46M,10.81M,FINVIZ
GTH,1.26B,1.92%,29.07M,91.98M,FINVIZ
GTHX,597.86M,21.89%,38.57M,42.12M,FINVIZ
GTIM,62.27M,1.23%,9.12M,12.79M,FINVIZ
GTPAU,N/A,N/A,20.7M,N/A,YAHOO
GTPBU,N/A,N/A,N/A,N/A,YAHOO
GTX,436.15M,4.09%,63.15M,69.67M,FINVIZ
GTYH,440.50M,2.90%,46.59M,57.50M,FINVIZ
GURE,56.42M,0.49%,6.58M,10.47M,FINVIZ
GVP,30.36M,0.41%,16.20M,20.65M,FINVIZ
GWII,287.83M,N/A,23.84M,29.4M,YAHOO
GXII,362.64M,0.01%,30.00M,37.50M,FINVIZ
GXIIU,N/A,N/A,30M,N/A,YAHOO
HA,1.02B,7.91%,50.07M,51.16M,FINVIZ
HAAC,540.85M,0.51%,52.50M,52.50M,FINVIZ
HAACU,-,0.02%,48.50M,-,FINVIZ
HAFC,672.80M,1.74%,30.33M,30.44M,FINVIZ
HAIN,4.35B,6.77%,94.86M,99.43M,FINVIZ
HALL,62.70M,0.84%,16.72M,18.17M,FINVIZ
HALO,5.41B,4.31%,139.66M,142.49M,FINVIZ
HAPP,31.04M,4.12%,18.20M,27.28M,FINVIZ
HARP,219.23M,2.96%,30.14M,32.51M,FINVIZ
HAS,13.62B,4.07%,126.62M,137.80M,FINVIZ
HBAN,22.98B,1.82%,1.46B,1.48B,FINVIZ
HBANP,N/A,N/A,N/A,N/A,YAHOO
HBIO,311.82M,1.57%,36.56M,40.15M,FINVIZ
HBMD,386.66M,1.10%,11.40M,18.79M,FINVIZ
HBP,192.84M,1.13%,19.45M,27.40M,FINVIZ
HCAQ,264.47M,0.09%,20.70M,26.49M,FINVIZ
HCAR,404.06M,0.10%,33.12M,41.40M,FINVIZ
HCARU,-,0.00%,34.01M,-,FINVIZ
HCAT,2.66B,11.83%,44.71M,44.89M,FINVIZ
HCCC,341.00M,0.12%,27.5M,27.5M,YAHOO
HCCCU,-,0.00%,27.50M,-,FINVIZ
HCDI,27.12M,9.00%,11.41M,14.89M,FINVIZ
HCIC,435.61M,0.24%,34.50M,43.12M,FINVIZ
HCICU,N/A,N/A,31.08M,N/A,YAHOO
HCIIU,N/A,N/A,25M,N/A,YAHOO
HCM,4.38B,1.67%,92.61M,148.90M,FINVIZ
HCNEU,N/A,N/A,N/A,N/A,YAHOO
HCSG,1.43B,10.76%,74.17M,75.00M,FINVIZ
HCVIU,N/A,N/A,N/A,N/A,YAHOO
HCWB,172.27M,1.07%,9.04M,38.54M,FINVIZ
HDSN,155.72M,1.24%,27.83M,43.50M,FINVIZ
